奉恩將軍西清額,旭英第七子。乾隆四十九年，封奉恩將軍。嘉慶五年，卒。
禮烈親王代善,太祖第二子。明萬曆十一年癸未七月初三日寅時生，元妃佟佳氏出，初稱貝勒，三十五年四月，以擊敗烏拉功，以軍功賜號古英巴圖魯。天命元年四月，封貝勒。十一年八月，奉弟皇太極嗣父位。崇德元年四月，晉和碩兄禮親王。順治二年春，至京師。順治五年戊子十月十一日丑刻，薨。諡曰烈。乾隆四十三年，以佐命殊功，配享太廟。 嫡福晉李佳氏，達褚祜巴晏之女；繼福晉葉赫納喇氏，布齊貝勒之女；三娶福晉葉赫納喇氏，阿納布貝勒之女；側福晉哈達納喇氏，孟格布祿貝勒之女；側福晉喀爾喀翁吉剌特部博爾濟吉特氏，寨三貝勒之女（天命六年八月）；妾富察氏，和之女；（萬曆四十二年四月娶扎魯特部鍾嫩台吉之女；;天聰九年九月，娶察哈爾部林丹汗的妹妹泰松格格；崇德三年九月娶蒙古科爾沁部奧巴族叔圖美貝勒之女）子八人。長子多羅克勤郡王岳托， 次子已革固山貝子碩托， 三子和碩穎毅親王薩哈磷，四子多羅謙襄郡王瓦克達，五子巴喇瑪{萬曆36戊申年二月初一日辰時生，母繼福晉葉赫納喇氏，布齊貝勒之女；天聰五年辛未六月十九日午時卒，年二十四歲，嫡妻佟佳氏，巴圖禮之女；媵妾博爾濟吉特氏，班第台吉之女。無子女。}，六子奉恩輔國公瑪占，七子和碩巽簡親王滿達海，八子追封和碩惠順親王祜塞，第一女，嫁何合里四子和碩圖,第二女，母側福晉喀爾喀博爾濟吉特氏，寨三貝勒之女；崇德二年六月嫁奈曼部台吉巴達禮（天聰九年五月訂婚）。第三女郡主，母三繼福晉葉赫納喇氏，阿納布貝勒之女，嫁何和里五子都雷。第五女郡主，天命十一年生，母三繼福晉葉赫納喇氏，阿納布貝勒之女。崇德四年八月，嫁科樂沁台吉多爾濟（奧巴弟布塔奇之子，天聰二年二月指婚）。第六女，母側福晉喀爾喀博爾濟吉特氏，寨三貝勒之女；嫁八旗博爾濟吉特氏。第九女，母側福晉喀爾喀博爾濟吉特氏，寨三貝勒之女；順治七年八月，嫁科樂沁台吉多爾濟。第十二女，母三繼福晉葉赫納喇氏，阿納布貝勒之女。順治十三年五月，嫁阿巴垓部博爾濟吉特氏噶爾瑪索諾木。
克勤郡王岳託,代善第一子。萬曆27己亥年二月初二日寅時生，母嫡福晉李佳氏，達褚祜巴晏之女，天命十一年，以功封貝勒。崇德元年，晉成親王。尋緣事降貝勒。二年，又降貝子。三年，以功復封貝勒。四年己卯正月初九日卯時，薨。追封克勤郡王。乾隆四十三年，以佐命殊功，配享太廟。嫡福晉納喇氏，阿拜宜之女；繼福晉納喇氏，吳爾祜達之女。側福晉（崇德二年十一月）納蒙古杜爾伯特部達爾漢之女。七子：第一子岳洛歡{天命元年丙辰八月十三日酉時生，母嫡福晉納喇氏，阿拜宜之女；天聰二年戊辰八月二十三日亥時卒，年十三歲。}，第二子多羅衍禧介郡王洛洛歡，第三子多羅顯榮貝勒喀爾楚諢，第四子多羅和惠貝勒巴爾楚諢。第五子鎮國將軍品級巴思哈，六子多羅剛毅貝勒祜里布。七子富英武。 第一女，號和碩公主。1614年（萬曆42甲辰）生，其母為嫡福晉納喇氏，阿拜宜之女。天聰二年(1628)14歲時，嫁給蒙古科爾沁部台吉博爾濟吉特氏曼珠習禮。崇德二年(1637)冊封為和碩公主，是年七月十九日去世，時年23歲。第二女，嫡福晉納喇氏，阿拜宜之女，天聰五年嫁博爾吉齊特氏弼喇錫。第三女，嫡福晉納喇氏，阿拜宜之女，生於天命三年，天聰元年訂婚，天聰四年嫁巴林部固山貝子塞棱。第四女，天聰八年選婿鄂木布額駙。第五女，天聰八年選婿輕車都尉阿拉克齊額駙。第六女，母繼福晉哈達納喇氏，吳爾祜達之女；崇德三年三月，嫁科爾沁左前旗洪果爾之子達爾漢卓禮克圖巴敦台吉。
衍禧介郡王羅洛渾,岳託第一子。天命八年癸亥三月初二日辰時生，母繼福晉哈達納喇氏，吳爾祜達之女；崇德四年九月，封貝勒。七年三月，緣事革爵。八年五月，復封貝勒。順治元年十月，以功晉衍禧郡王。三年丙戌八月初三日辰時，薨。諡曰介。嫡福晉佟佳氏，佟養性之女；三子：長子多羅平比郡王羅科鐸（福晉為科爾沁蒙古巴敦台吉之女），次子巴哈塔{崇德六年辛巳九月十九日申時生，母嫡福晉佟佳氏，佟養性之女，與第一子同母；順治八年辛卯七月二十日亥時卒，年十一歲。}，三子多羅貝勒諾尼。
平比郡王羅科鐸,羅洛渾第一子。順治五年，襲衍禧郡王。八年，改號平郡王。康熙二十一年，薨。諡曰比。
平郡王訥爾圖,羅科鐸第四子。康熙十八年，封世子。二十二年，襲平郡王。二十六年，以罪革爵。
克勤郡王訥清額,訥爾圖子。追封克勤郡王。
克勤莊郡王雅朗阿,訥清額子。乾隆四十五年，襲克勤郡王。五十九年，薨。諡曰莊。
三等鎮國將軍恆節,雅朗阿第二子。乾隆五十五年，封三等鎮國將軍。嘉慶二十五年，卒。
二等輔國將軍春和,恆節第一子。嘉慶十七年，封奉國將軍。二十五年，襲二等輔國將軍。道光五年，卒。
奉國將軍碩景,春和第二子。道光五年，襲奉國將軍。二十四年，卒。
奉恩將軍惠興,碩景第一子。道光二十四年，襲奉恩將軍。光緒十三年，卒。
奉恩將軍松瑞,惠興第三子。光緒十四年，襲奉恩將軍。
奉恩將軍惠雲,碩景第三子。同治三年，封奉恩將軍。光緒二十七年，卒。
奉恩將軍崇瑞,惠雲子。光緒二十八年，襲奉恩將軍。三十一年，卒。
奉恩將軍祺陞,崇瑞子。光緒三十二年，襲奉恩將軍。
奉國將軍碩成,春和第三子。道光二十五年，封奉國將軍。二十九年，卒。無嗣。
三等輔國將軍春庭,恆節第二子。道光元年，封三等輔國將軍。六年，緣事革退。
克勤郡王恆謹,雅朗阿第三子。乾隆四十九年，封三等鎮國將軍。六十年，襲克勤郡王。嘉慶四年，以罪革爵。
鎮國將軍春齡,恆謹第一子。嘉慶七年，封輔國將軍。八年，襲鎮國將軍。十六年，卒。
輔國將軍慶恩,春齡第一子。嘉慶十七年，襲輔國將軍。十九年，卒。無嗣。
奉國將軍春林,恆謹第二子。嘉慶十年，封奉國將軍。十三年，卒。無嗣。
克勤郡王恆元,雅朗阿第四子。追封克勤郡王。
克勤簡郡王尚格,恆元子。嘉慶四年，襲克勤郡王。道光四年，因病告退。十三年，薨。諡曰簡。
克勤恪郡王承碩,尚格第二子。道光元年，封一等鎮國將軍。九年，晉不入八分輔國公。十三年，襲克勤郡王。十九年，薨。諡曰恪。
克勤敬郡王慶惠,承碩第一子。道光二十二年，襲克勤郡王。咸豐十一年，薨。諡曰敬。
克勤誠親王晉祺,慶惠第一子。咸豐十一年，襲克勤郡王。光緒十五年，加親王銜。二十六年，薨。諡曰誠。
克勤順郡王崧傑,晉祺第二子。光緒二十六年，襲克勤郡王。宣統元年，薨。諡曰順。
克勤郡王晏森,崧傑子。宣統元年，封克勤郡王。 
三等鎮國將軍延祺,慶惠第二子。同治七年，封三等鎮國將軍。光緒二十三年，卒。
三等輔國將軍廷魁,延祺第二子。光緒二十年，封三等輔國將軍。
三等鎮國將軍佑祺,慶惠第三子。同治七年，封三等鎮國將軍。光緒二年，卒。無嗣。
奉國將軍齡祺,慶惠第四子。同治十一年，封奉國將軍。光緒二十六年，卒。
奉恩將軍崧燿,齡祺子。光緒二十八年，襲奉恩將軍。
奉國將軍增祺,慶惠第七子。光緒六年，封奉國將軍。
三等鎮國將軍承順,尚格第三子。道光四年，封三等鎮國將軍。二十三年，卒。
輔國將軍景錫,承順第一子。道光二十三年，襲輔國將軍。同治十二年，卒。
奉國將軍吉鈞,景錫第二子。同治十三年，襲奉國將軍。光緒二十六年，卒。
奉國將軍光耀,吉鈞子。光緒二十八年，襲奉國將軍。
奉國將軍吉?,景錫第三子。光緒十三年，封奉國將軍。十五年，卒。
奉恩將軍邁拉遜,吉?子光緒十五年，襲奉恩將軍。十六年，卒。無嗣。
輔國將軍慶炤,承順第二子。同治三年，封輔國將軍。光緒二十八年，卒。
三等奉國將軍吉康,慶炤第一子。光緒十四年，封三等奉國將軍。二十五年，卒。無嗣。
鎮國將軍承慶,尚格第四子。道光九年，封鎮國將軍。二十九年，卒。
輔國將軍景恩,承慶第二子。道光二十九年，襲輔國將軍。光緒三十四年，卒。
輔國將軍寶賢,景恩子。光緒二十年，封三等奉國將軍。三十四年，襲輔國將軍。
奉國將軍承智,尚格第五子。道光二十四年，封奉國將軍。同治二年，卒。
奉恩將軍景惠,承智第一子。同治三年，襲奉恩將軍。四年，卒。
奉國將軍祿祺,景惠第二子。同治四年，襲奉國將軍。光緒二十八年，卒。無嗣。
平悼郡王訥爾福,羅科鐸第六子。康熙二十四年，封貝子。二十六年，襲平郡王。四十年，薨。諡曰悼。
平郡王訥爾蘇,訥爾福第一子。康熙四十年，襲平郡王。雍正四年，因罪革爵。乾隆五年，卒。照郡王品級殯葬。
平敏郡王福彭,訥爾蘇第一子。雍正四年，襲平郡王。乾隆十三年，薨。諡曰敏。
平僖郡王慶明,福彭第一子。乾隆十四年，襲平郡王。十五年，薨。諡曰僖。
貝子品級福秀,訥爾蘇第四子。乾隆二十年，卒。照貝子品級殯葬。
克勤良郡王慶恆,福秀子，福彭嗣子。乾隆十五年，襲平郡王。二十七年，降貝子。四十年，復封平郡王。四十三年，以岳託茂著壯猷，仍復號克勤郡王。四十四年，薨。諡曰良。
奉國將軍福靖,訥爾蘇第六子。乾隆二年，封奉國將軍。二十四年，卒。
奉恩將軍慶祥,福靖第一子。乾隆二十四年，襲奉恩將軍。嘉慶八年，緣事革退。
貝勒諾尼,羅洛渾第三子。崇德七年壬午十二月十六日子時生，母嫡福晉佟佳氏，佟養性之女，順治十三年，封貝勒。康熙四年，因罪革爵。三十九年，復封貝勒。四十四年乙酉正月初二日申時，卒。嫡夫人科爾沁博爾濟吉特氏，多羅額附弼拉錫之女；繼夫人伊爾根覺羅氏，雲騎慰富祿之女；妾韓氏，韓大之女；妾馮氏，登科之女；妾張氏，張那之女；妾富察氏，滿色之女；妾王氏，王四之女；妾王氏，王國棟之女；二十子：長子努爾泰，次子額圖渾，三子莽鼐，四子額爾古楞，五子武爾泰，六子訥門，七子弩爾賽，八子都爾泰，九子蒙格，十子碼啟圖，十一子額古禮德，十二子樂齊爾，十三子奉恩鎮國恪順公諾恩托和，十四子柏爾明，十五子柏爾保，十六子福爾哈，十七子溫托和，十八子布倫，十九子布爾渾，二十子布爾罕。
輔國恪順公諾恩託和,諾尼第十三子。康熙四十三年，封三等鎮國將軍。四十四年，襲輔國公。乾隆四年，卒。諡曰恪順。
輔國公斗寶,諾恩託和第五子。乾隆五年，襲輔國公。二十四年，緣事革退。
奉恩將軍福明阿,斗寶第一子。乾隆二十四年，襲奉恩將軍。四十年，緣事革退。
顯榮貝勒喀爾楚渾,岳託第二子。天命十一年生，順治二年，封鎮國公。六年十月，以功晉貝勒。八年攝理藩院事。十一月初五日卒。諡曰顯榮。一子克齊。
貝勒克齊,喀爾楚渾子。順治九年，襲貝勒。康熙六十一年，薨。
輔國恪思公祿賓,克齊第一子。康熙二十三年，封貝子。雍正四年，緣事革退。復封輔國公。乾隆八年，卒。諡曰恪思。
和惠貝勒巴爾楚渾,岳託第四子。順治六年，封貝勒。十二年，卒。諡曰和惠。
鎮國將軍巴思哈,岳託第五子。崇德四年，封鎮國將軍。順治六年，晉貝勒。十一年，緣事革爵。十二年，封鎮國將軍。十八年，卒。
輔國將軍固克度渾,巴思哈第二子。順治十八年，襲輔國將軍。康熙四年，卒。
三等輔國將軍庫普素渾,巴思哈第三子。康熙五年，襲三等奉國將軍。十二年，封三等輔國將軍。三十四年，因病革退。
奉國將軍蘭鼐,庫普素渾第一子。康熙三十四年，襲封奉國將軍。五十八年，卒。
奉恩將軍宗智,蘭鼐第四子。康熙五十八年，襲奉恩將軍。乾隆九年，卒。
奉恩將軍訥穆金,宗智子。乾隆九年，襲祿賓之奉恩將軍。四十八年，因病告退。尋卒。
奉恩將軍薩賓圖,訥穆金　第一子。乾隆四十九年，襲奉恩將軍。嘉慶八年，緣事革退。
奉恩將軍恆萃,訥穆金第二子。嘉慶八年，襲奉恩將軍。道光十年，卒。
崇慶,恆萃子。
奉恩將軍興瑞,崇慶子。道光十年，襲奉恩將軍。光緒元年，卒。
奉恩將軍恩鈺,國啟子，崇榮嗣子。光緒二年，襲族叔興瑞之奉恩將軍。
剛毅貝勒祜里布,岳託第六子。順治六年，封貝勒，九年，卒。諡曰剛毅。
貝子碩託,代善第二子。萬曆28庚子年十一月初十日丑時生，母嫡福晉李佳氏，達褚祜巴晏之女，天聰八年，以功封貝子。崇德四年，緣事降輔國公。尋復封貝子。八年，以罪削爵，黜宗室。八月十八日處死，嫡妻烏喇納喇氏，布占泰貝勒之女；妾張氏，張國棟之女；媵妾明氏，明尚隆之女；妾宋氏，宋昌雲之女。三子：長子喇喀，次子齊蘭布，三子岳賽布。（喇喀崇德七年娶扎魯特部馬鼐貝勒之女。）
穎毅親王薩哈璘,代善第三子。萬曆32甲辰年五月二十三日卯時生，母繼福晉葉赫納喇氏，布齊貝勒之女；天命十一年，以功封貝勒。崇德元年，晉郡王。丙子五月初九日辰時薨。追封穎親王，諡曰毅。嫡福晉烏喇納喇氏，布占泰貝勒之女。三子：長子已革多羅郡王阿達里，次子多羅順承恭惠郡王勒克德諢（勒克德諢崇德七年九月科爾沁左後旗博多勒噶台郡王洪果爾之女），三子奉恩鎮國公杜蘭。
穎郡王阿達禮,薩哈璘第一子。崇德元年，襲郡王。八年，以罪處死，黜宗室。
順承恭惠郡王勒克德渾,薩哈璘第二子。順治元年，以兄罪黜宗室。尋復入宗室，封貝勒。五年，以功晉順承郡王。九年，薨。諡曰恭惠。
順承忠郡王諾羅布,勒克德渾第三子。康熙五十四年，襲順承郡王。五十六年，薨。諡曰忠。
順承郡王品級錫保,諾羅布第四子。康熙五十六年，襲順承郡王。雍正九年，晉親王。十一年，以罪革退親王。乾隆七年，薨。照郡王品級殯葬。
順承恪郡王熙良,錫保第一子。雍正三年，封輔國公。十年，封世子。十一年，以父罪革世子。尋襲順承郡王。乾隆九年，薨。諡曰恪。
順承恭郡王泰斐英阿,熙良第一子。乾隆九年，襲順承郡王。二十一年，薨。諡曰恭。
奉恩將軍恆英,泰斐英阿第一子。乾隆三十年，封奉恩將軍。嘉慶七年，因病告退。
奉恩將軍倫蓋,恆英第一子。嘉慶八年，襲奉恩將軍。二十一年，卒。
奉恩將軍純玉,倫蓋第一子。嘉慶二十二年，襲奉恩將軍。同治六年，卒。
奉恩將軍鬆通,純玉第三子。同治六年，襲奉恩將軍。光緒十年，卒。
奉恩將軍恩奎,鬆通第一子。光緒十一年，襲奉恩將軍。
三等奉國將軍恆齡,泰斐英阿第二子。乾隆三十五年，封三等奉國將軍。道光十三年，卒。
奉恩將軍倫康,恆齡第一子。乾隆六十年，封奉恩將軍。嘉慶七年，卒。
奉恩將軍順英,倫康第一子。嘉慶七年，襲奉恩將軍。十四年，卒。無嗣。
奉恩將軍倫興,恆齡第二子。嘉慶七年，封奉恩將軍。十二年，卒。
奉恩將軍順慶,倫興第一子。嘉慶十二年，襲奉恩將軍。道光十七年，卒。
奉恩將軍福禧,順慶第一子。道光十八年，襲奉恩將軍。同治元年，卒。無嗣。
奉恩將軍倫恭,恆齡第三子。嘉慶十一年，封奉恩將軍。咸豐八年，緣事革退。
順承慎郡王恆昌,泰斐英阿第四子。乾隆二十一年，襲順承郡王。四十三年，薨。諡曰慎。
順承簡郡王倫柱,恆昌第一子。乾隆五十一年，襲順承郡王。道光三年，薨。諡曰簡。
順承勤郡王春山,倫柱第四子。道光元年，封鎮國將軍。三年，襲順承郡王。咸豐四年，薨。諡曰勤。
順承敏郡王慶恩,春山第五子。咸豐四年，襲順承郡王。光緒七年，薨。諡曰敏。
順承質郡王訥勒赫,慶恩子。光緒七年，襲順承郡王。1917年薨。
順承郡王文葵，長福子。1917年襲，娶崇厚之子王恆貴之女王德賢　 　 
三等鎮國將軍春佑,倫柱第五子。道光元年，封三等鎮國將軍。光緒二年，卒。
輔國將軍謙士,春佑第一子。道光三十年，封輔國將軍。同治二年，卒。無嗣。
三等輔國將軍謙德,春佑第六子。咸豐六年，封三等輔國將軍。光緒二十一年，卒。
奉國將軍銓福,謙德第二子。光緒二十二年，襲奉國將軍。
二等輔國將軍謙光,春佑第七子。咸豐七年，封三等輔國將軍。光緒二十一年，晉二等。二十五年，卒。
奉國將軍興瑞,謙光第一子。光緒二十五年，襲奉國將軍。
奉國將軍麟瑞,謙光第三子。光緒三十二年，封奉國將軍。
三等奉國將軍春祿,倫柱第九子。道光十三年，封三等奉國將軍。同治七年，卒。無嗣。
三等鎮國將軍春英,倫柱第十子。道光九年，封三等鎮國將軍。同治元年，卒。
二等輔國將軍謙禧,春英第一子。咸豐七年，封三等輔國將軍。同治二年，晉襲二等。光緒十六年，卒。
奉國將軍靈熙,謙禧第二子。光緒十六年，襲奉國將軍。
奉恩將軍文灝,靈熙第五子。光緒三十二年，封奉恩將軍。宣統元年，卒。
奉恩將軍鐵珊,文灝子。宣統元年，襲奉恩將軍。 
奉恩將軍文治,靈熙第七子。光緒三十二年，封奉恩將軍。
三等輔國將軍謙華,春英第三子。同治十一年，封三等輔國將軍。
三等鎮國將軍春定,倫柱第十一子。道光九年，封三等鎮國將軍。同治六年，卒。
輔國將軍謙升,春定第三子。咸豐七年，封三等輔國將軍。十年，緣事革退。同治七年，襲輔國將軍。光緒八年，卒。
三等奉國將軍靈魁,謙升第一子。光緒八年，襲三等奉國將軍。十六年，卒。
三等鎮國將軍春靜,倫柱第十二子道光九年，封三等鎮國將軍。二十五年，卒。無嗣。
三等鎮國將軍春安,倫柱第十三子。道光九年，封三等鎮國將軍。咸豐十一年，卒。
奉恩將軍謙壽,春安子。同治元年，襲奉恩將軍。光緒三年，卒。無嗣。
鎮國將軍春益,倫柱第十七子。道光十六年，封鎮國將軍。同治九年，卒。無嗣。
奉國將軍春戴,倫柱第十八子。道光十九年，封奉國將軍。光緒九年，卒。
奉恩將軍慶恕,春戴第二子。光緒九年，襲奉恩將軍。
奉恩將軍春瑞,倫柱第十九子。道光二十四年，封奉恩將軍。咸豐十一年，卒。無嗣。
一等輔國將軍倫成,恆昌第二子。乾隆六十年。封一等輔國將軍。嘉慶三年，卒。無嗣。
二等輔國將軍倫正,恆昌第三子。嘉慶四年，封二等輔國將軍。二十一年，卒。
三等奉國將軍順萃,倫正第一子。嘉慶二十一年，襲三等奉國將軍。道光十三年，卒。無嗣。
奉國將軍春修,倫正第二子。道光二十四年，封奉國將軍。同治十二年，卒。
奉恩將軍扎隆阿,春修第一子。同治元年，封奉恩將軍。光緒二十六年，殉難。
奉恩將軍樸厚,扎隆阿第一子。光緒二十八年，襲奉恩將軍。
奉國將軍恆慶,泰斐英阿第五子。乾隆四十年，封奉國將軍。五十五年，因病告退。
三等奉國將軍恆柏,泰斐英阿第六子。乾隆四十四年，封三等奉國將軍。嘉慶六年，緣事革退。
二等鎮國將軍克明,熙良第四子。乾隆二十一年，封二等鎮國將軍。嘉慶二年，卒。
一等奉國將軍文獻,克明第一子。乾隆四十年，封一等奉國將軍。六十年，卒。
輔國將軍倫忠,文獻子。乾隆六十年，襲奉恩將軍。嘉慶三年，晉襲輔國將軍。咸豐九年，卒。
奉國將軍崇儉,倫忠第二子。道光四年，封奉國將軍。咸豐二年，卒。無嗣。
三等奉國將軍文弼,克明第二子。乾隆四十九年，封三等奉國將軍。嘉慶十七年，緣事革退。
奉恩將軍德宗,熙良第五子。乾隆二十一年，封奉恩將軍。四十九年，卒。
奉恩將軍封訥赫,諾羅布第七子。雍正十三年，封奉恩將軍。乾隆十一年，因病告退。三十年，卒。緣事追革。
順承郡王勒爾錦,勒克德渾第四子。順治九年，襲順承郡王。康熙十九年，緣事革爵。四十五年，卒。
順承郡王勒爾貝,勒爾錦第三子。康熙二十年，襲順承郡王。二十一年，薨。
順承郡王延奇,勒爾錦第四子。康熙二十一年，襲順承郡王。二十六年，薨。
順承郡王穆布巴,勒爾錦第五子。康熙三十八年，襲順承郡王。五十四年，緣事革爵。
順承郡王充保,勒爾錦第七子。康熙二十六年，襲順承郡王。三十七年，薨。
鎮國公杜蘭,薩哈璘第三子。順治六年，封貝勒。康熙七年，降鎮國公。十四年，卒。
訥默孫,
輔國公杜蘭第一子。康熙四年，封貝子。十一年，緣事革退。十四年，襲輔國公。五十三年，卒。
輔國敦敏公訥圖,訥默孫第三子。康熙三十七年，封三等鎮國將軍。五十三年，襲輔國公。乾隆二年，卒。諡曰敦敏。輔國勤僖公興英,訥圖第四子。乾隆二年，襲輔國公。十八年，卒。諡曰勤僖。
輔國公崇尚,興英第一子。乾隆十八年，襲輔國公。嘉慶十二年，卒。
不入八分輔國公恆勳,崇尚第一子。嘉慶十四年，襲不入八分輔國公。二十六年，卒。
鎮國將軍保齡,恆勳第一子。嘉慶二十一年，封三等輔國將軍。二十六年，襲鎮國將軍。道光十三年，卒。
輔國公弼禮克,杜蘭第二子。康熙九年，封輔國公。十六年，卒。
鎮國將軍弼爾特訥,弼禮克第四子。康熙十六年，襲鎮國將軍。四十三年，緣事革退。
謙襄郡王瓦克達,代善第四子。丙午年五月十三日酉時生，母繼福晉葉赫納喇氏，布齊貝勒之女，順治三年，以功封三等鎮國將軍。四年，晉鎮國公。五年，晉郡王，加號曰謙。九年壬辰八月初七日子時，薨。諡曰襄。嫡福晉赫舍里氏，巴圖禮之女；繼福晉他塔喇氏，尚書塔穆拜之女；側福晉巴林氏，圖魯克宜之女；側福晉納喇氏，塔喇瑪之女；庶福晉何氏，何起龍之女；庶福晉卞氏，卞進泰之女；媵妾納喇氏，袁布之女。三子：長子巴克達，次子已革鎮國公留雍，三子已革鎮國公噶爾塞
鎮國公留雍,瓦克達第二子。順治十年，封三等奉國將軍。康熙六年，晉鎮國將軍。八年，緣事降奉國將軍品級。二十五年，襲鎮國公。三十七年，革爵停襲。
三等輔國將軍台渾,留雍第三子。康熙三十三年，封三等輔國將軍。五十九年，緣事革退。
忠端,台渾子。
一等鎮國將軍洞福,忠端子。乾隆四十三年，以瓦克達有功，命洞福襲一等鎮國將軍。五十七年，卒。
